list_id,idea_list_name,tracking_id,enabled
TOLRF8ZU3T5K,HALLOWEEN,dp-halloween1-20,yes
IOIVGOQN9X1X,The FALL EDIT,dp-falleditfashion101-20,yes
17SP6THMUJN6E,TOP 50 BEAUTY,dp-top50beauty101-20,yes
ED3VXSBXPFO5,EARLY Fall,dp-earlyfalldecor101-20,yes
32TSU85USSAQZ,RH STYLE - Looks like a SPLURGE,dp-rh-style101-20,yes
1SLNDA7361JAR,The STYLE EDIT - HOTTEST finds RIGHT NOW!,dp-creator-conn101-20,yes
20Q0HRFOLM3K2,DATE NIGHT FASHION,dp-datenight101-20,yes
33RG7LWDINUWO,SPORT MOM Style,dp-momstyle101-20,yes
QR27F03IP4AQ,CHIC 2-PIECE SETS,dp-matchingsets-20,yes
2B46UO4I7XY3G,KITCHEN Organizing,dp-kitchen-org-20,yes
1GS6BISWIK7UN,OVER 40 & Fabulous HILLARY'S Capsule WARDROBE - Effortless & Chic,dp-over-fourty-20,yes
1HHMN64HEUPU9,THE DRESS SHOPPE - From BRUNCH to BLACK TIE,dp-dress-shoppe-20,yes
39FHE4P3M78YV,UNDER $50 FALL Capsule,dp-under-50--20,yes
341JHBPWHDBNK,EUROPEAN SUMMER,dp-european-fashion-20,yes
3QM5O5E9ELURW,PILATES PRINCESS,dp-pilates-princess-20,yes
5MN6DE6JTTK2,TRANSITIONAL Fall Fashion,dp-transitional-fashion-20,yes
3QCVRRMTI2TTQ,VIRAL Holiday Finds,dp-viral-holiday-20,yes
2DVQFMB8O8SDC,TOP 100 HOME PICKS,dp-top-100-home-20,yes
Q8UFO5D52NKD,BATHROOM Organization,dp-bathroom-org-20,yes
1K9R04PZQD03N,FALL LOUNGE SETS,dp-lounge-sets-20,yes
DSS93TBPVRP5,AUGUST TOP PICKS,dp-monthly-top-picks-20,yes
